ANO;CODIGO_ESCOLA;CODIGO_INEP;CODIGO_DIRETORIA;NOME_DIRETORIA;NOME_ESCOLA;NOME_MUNICIPIO;ANOS_INICIAIS;ANOS_FINAIS
2024;41154;35041154;10503;ITAQUAQUECETUBA;SILVIA GAMA BALABEN PROFESSORA;POA;;2,65
2024;41166;35041166;10502;SUZANO;JUSTINO MARCONDES RANGEL PROFESSOR;FERRAZ DE VASCONCELOS;;3,04
2024;41178;35041178;10601;DIADEMA;OSWALDO LACERDA GOMES CARDIM PROFESSOR;DIADEMA;;3,46
2024;41185;35041185;10601;DIADEMA;ANA MARIA POPPOVIC;DIADEMA;;1,68
2024;41191;35041191;10601;DIADEMA;RODRIGO SOARES JUNIOR JORNALISTA;DIADEMA;5,37;
2024;41221;35041221;10602;MAUA;ISAMO SERIKIYAKU PROFESSOR;MAUA;3,42;2,94
2024;41233;35041233;10602;MAUA;MARIO ALEXANDRE FARO NIERI;RIBEIRAO PIRES;6,72;4,49
2024;41245;35041245;10602;MAUA;DI CAVALCANTI;RIBEIRAO PIRES;5,35;
2024;41257;35041257;10606;SAO BERNARDO DO CAMPO;FAUSTINA PINHEIRO SILVA PROFESSORA;SAO BERNARDO DO CAMPO;;4,49
2024;41269;35041269;10606;SAO BERNARDO DO CAMPO;DOMINGOS PEIXOTO DA SILVA PROFESSOR;SAO BERNARDO DO CAMPO;;2,21
2024;41270;35041270;10606;SAO BERNARDO DO CAMPO;JULIETA VIANNA SIMOES DE SANT ANNA PROFESSORA;SAO BERNARDO DO CAMPO;;3,63
2024;41282;35041282;10606;SAO BERNARDO DO CAMPO;MARIA OSORIO TEIXEIRA PROFESSORA;SAO BERNARDO DO CAMPO;;1,98
2024;41294;35041294;10606;SAO BERNARDO DO CAMPO;JEAN PIAGET;SAO BERNARDO DO CAMPO;;5,00
2024;41300;35041300;10606;SAO BERNARDO DO CAMPO;NAIL FRANCO DE MELLO BONI PROFESSORA;SAO BERNARDO DO CAMPO;;3,04
2024;41324;35041324;10701;CARAPICUIBA;NIDELSE MARTINS DE ALMEIDA PROFESSORA;CARAPICUIBA;4,64;
2024;41336;35041336;10701;CARAPICUIBA;JOAO GARCIA DE HARO PROFESSOR;CARAPICUIBA;3,27;2,32
2024;41348;35041348;10701;CARAPICUIBA;BASILIO BOSNIAC;CARAPICUIBA;;3,41
2024;41373;35041373;10703;ITAPEVI;JOAO BATISTA SOLDE;JANDIRA;;2,29
2024;41385;35041385;10703;ITAPEVI;MOACIR THOMAZ DA SILVA;JANDIRA;;3,30
2024;41439;35041439;20301;APIAI;OSWALDINA SANTOS PROFA;APIAI;3,43;2,14
2024;41440;35041440;20301;APIAI;HERMINIA DA SILVEIRA MELLO DONA;BARRA DO CHAPEU;;
2024;41452;35041452;20301;APIAI;ANEZIA AMORIM MARTINS PROFA;ITAOCA;;2,27
2024;41488;35041488;20409;MOGI MIRIM;CANDIDO DE MOURA PROF;ITAPIRA;;2,87
2024;41497;35041497;20413;SAO JOAO DA BOA VISTA;CARLOS LIMA DIAS DOUTOR;MOCOCA;;3,47
2024;41506;35041506;20413;SAO JOAO DA BOA VISTA;ABELARDO CESAR DOUTOR;ESPIRITO SANTO DO PINHAL;4,36;2,36
2024;41531;35041531;20507;RIBEIRAO PRETO;JENNY DE TOLEDO PIZA SCHROEDER PROFESSORA;RIBEIRAO PRETO;;1,02
2024;41592;35041592;21102;REGISTRO;ALAY JOSE CORREA VEREADOR;REGISTRO;;2,60
2024;41609;35041609;10318;SUL 3;SANTO DIAS DA SILVA;SAO PAULO;;2,66
2024;41634;35041634;20103;SAO VICENTE;MARIA DULCE MENDES PROFESSORA;SAO VICENTE;;2,52
2024;41646;35041646;20308;SOROCABA;WALDEMAR DE FREITAS ROSA PROFESSOR;SOROCABA;7,03;
2024;41658;35041658;20308;SOROCABA;GUMERCINDO GONCALVES;SOROCABA;6,22;
2024;41661;35041661;20408;LIMEIRA;NELSON STROILI PROFESSOR;RIO CLARO;;3,09
